external_id,source,source_posting_id,published_at,acquired_at,role_family_sampling_stratum,natural_or_challenge,challenge_stratum,text_sha256,normalised_text_sha256,duplicate_group_id
reed_55968647,reed,55968647,23/10/2025,2026-08-07T17:57:36.784926+00:00,business analyst,challenge,C1_lexical_low_coverage_semantic_disagreement,9578e3ae3e5d8425b239a8690c31ca2742d240b84deb64141715c11e88a29284,737d3b487b4f2704aa7e6eddaee2ce9c96fdd124044f1b2ede6d7363ba960742,2
reed_56212211,reed,56212211,16/12/2025,2026-08-07T17:57:36.785179+00:00,data analyst,challenge,C2_lexical_ambiguity_homonym,e0c1251070c7df461002fffe8aee9cba7acde6e18ff04bc8d06af004adb4e4a1,963503071111c8c74e8b16ea8e1f80f2caaec0f542df99b580950541d20e779a,3
reed_56764568,reed,56764568,09/04/2026,2026-08-07T17:57:36.785718+00:00,data analyst,natural,,3bb87aa3f14473e105e90edf1593f65a08fff77f5e88ba8bae5d5df150563538,2342807d74f54999bf165b64edc4c2c367fc5660092714459594f251f7df23f7,4
reed_56892652,reed,56892652,12/05/2026,2026-08-07T17:57:36.786294+00:00,other,natural,,19ed2cfbb84255f15332892cfc0d69522ea51788bc921077aabecf63a91fb8c8,46f3d6504e1f535140d86bbf610caeab0499f45b058991e77a7875455cf5e701,8
reed_56944815,reed,56944815,26/05/2026,2026-08-07T17:57:36.786477+00:00,marketing analyst,natural,,623e07e35e71cfa2374c5abe4452723b34e922407bd373278004725ffe0abacb,363d6929b6b55e0242eccf983a007e75e2dcdf337cd4422843463fe1f77a8806,9
reed_56971200,reed,56971200,02/06/2026,2026-08-07T17:57:36.786872+00:00,other,natural,,ee681881f6db6b6cbba7dae5d9f9cb5e4096c4ccc09a1000e64b83a15522ee37,5f223ef9204b2017fc341c7d3e4b225e336cf263f25b2d18999a6ab29c65b32e,10
reed_56990548,reed,56990548,05/06/2026,2026-08-07T17:57:36.786956+00:00,finance analyst,natural,,d757851e55b570e6a9de7d1130cafe0546b37be71db8496893691f7a73554b15,c98d13be364160b35103ea08311f19710138cbe597ba23d1444a4b0b6a4d2eb6,11
reed_57047061,reed,57047061,23/06/2026,2026-08-07T17:57:36.788371+00:00,other_analyst,challenge,C3_role_terminology_edge,84d3cd0c0fb225645d2c6138c2bef0b9bee0f78a542efd83407d628528f504c9,4d272dd161e7b2e81163e6f0afd84e530ca1ddd089428157fba084e2abf4f997,18
reed_57061486,reed,57061486,26/06/2026,2026-08-07T17:57:36.788866+00:00,data analyst,natural,,cfb91c70572adb782d00a0bc8474d76c584deba2939edbbbd15cb77a4d68b8cd,c14ecdc2d8507794e58d3849cf8d2bfda2e2b54e351ddebd50e4f4e25edefa9f,21
reed_57061897,reed,57061897,26/06/2026,2026-08-07T17:57:36.789514+00:00,other_analyst,natural,,24ec7c8963b70ed6d45d23ff1cabfdb2e589430e8f8a0add7231b5d1c5579116,ac4af95ff03bf62cddad724f15862687bc4868127ea36073db86dcf05485eca1,25
reed_57062355,reed,57062355,26/06/2026,2026-08-07T17:57:36.789684+00:00,other,natural,,3d9047e5b25a62f0678bfa5dfd82591974e0ca27c29d63e7da9301931ce4a55a,79204ce99804219418eb861762efab1389f3853dfb030f280c651fb67e252beb,26
reed_57062733,reed,57062733,26/06/2026,2026-08-07T17:57:36.789740+00:00,business analyst,challenge,C1_lexical_low_coverage_semantic_disagreement,bb359740775479adba4c17bc71b2e79d0a7c3f5cd241f32b7bd21d2be5e33e06,afbc072f01a2d6055d3b4f44a0535ed12ae95610c2766ade5822072ae3eb3c70,27
reed_57063092,reed,57063092,26/06/2026,2026-08-07T17:57:36.789830+00:00,data analyst,challenge,C2_lexical_ambiguity_homonym,fc50e51f4d2b98e0acf53898fcbd7625ce4531304ce77709a3c4c96bab208717,aebc1ba1c3a69eedd4e199c0d27f0c9463c61463177500dc7f682fcbeb14ec72,28
reed_57063551,reed,57063551,26/06/2026,2026-08-07T17:57:36.790087+00:00,finance analyst,natural,,9859e4a9d776a1403dcd59c6c7964335684c7b05b06ea87bc2d0f1e1ef8cf665,984d5d3685bd903973ca1ac0011a65c0cabd32b77c60ff5871c4217396c0f380,30
reed_57063599,reed,57063599,26/06/2026,2026-08-07T17:57:36.790178+00:00,other_analyst,challenge,C3_role_terminology_edge,637b39b4e96b7323365ef78a07990696777f16cc5142985648f2e9f1623a27cc,d6d258300224370b3cb8f192b4ec5e136c20f229d1877e2b14bce984ef6ac3c0,31
reed_57064372,reed,57064372,26/06/2026,2026-08-07T17:57:36.790332+00:00,other_analyst,natural,,75b89b35ed4d4d3402075e4764aa455c51c51c2950259aafc2d6425f4eb91428,e09c3d3403591747971f91b1a7627a0162a961820073e1465a3971b11b6bae84,33
reed_57064424,reed,57064424,26/06/2026,2026-08-07T17:57:36.790430+00:00,business analyst,natural,,d1067a2ff2e835ea4262efdc0a1394f779ee7e8b35f540b6bc02f1862c797d3a,07c2c514eef748d6062f567f6e098cc0e800770a89d52a48e426c76b710c03d4,34
reed_57064463,reed,57064463,26/06/2026,2026-08-07T17:57:36.790588+00:00,business analyst,challenge,C1_lexical_low_coverage_semantic_disagreement,74e2b27c05010cde02de8188a5d54898af85921234b9ae12e9e6cb2c4b74e1f1,cb85628853bdbd86adeaca93c08f513c9ea8079a236f777ee255e1334bcaf181,36
reed_57065133,reed,57065133,26/06/2026,2026-08-07T17:57:36.790794+00:00,other_analyst,natural,,57101a2629a3cd8c97199e6695a040a0390f24c6a3b74b097c6dfb96d62d94ce,bb9263ccea7b929cd30b61b288f493394989e9c2417828323e8694c10c8cd035,37
reed_57066045,reed,57066045,28/06/2026,2026-08-07T17:57:36.790939+00:00,business analyst,natural,,7368fcf53447a050ad5b9fe5c38a2bacaf5409fd545613d7bbc9e6724d633081,6879f9a0a0e2be818b48b65f6c9e265ffd8c7c28e33a7e840abbf0cfc94f0d79,39
reed_57066700,reed,57066700,29/06/2026,2026-08-07T17:57:36.791195+00:00,business analyst,challenge,C1_lexical_low_coverage_semantic_disagreement,57fca42ac08b4264e7f82020af8bacdb385f8b10a82731e6a141d1eaede17038,619f04af59657c1ba35250e8dd4681ccf2c895c76303ea8f3ebf55665d1ff05f,41
reed_57066708,reed,57066708,29/06/2026,2026-08-07T17:57:36.791294+00:00,other_analyst,natural,,348cb1d7d9aaa89ed4ecc29fe4b8ac2ae9d75bf2b6827679fdb49a48c129d982,67669e331f6c5e40b60cc4607e46fe46dee8dfc315c073b4d4dfad42ef671aa3,42
reed_57066822,reed,57066822,29/06/2026,2026-08-07T17:57:36.791389+00:00,finance analyst,natural,,359ee01d0587b6cd8fc1b4d89909a8b5ccf1838806fc979e3d4b9d6f42b1d081,b33b32ba7f9517506cee6d04c860b3e4af6e73d4771b172b74bb3d03ef48e4b6,43
reed_57067097,reed,57067097,29/06/2026,2026-08-07T17:57:36.792003+00:00,business analyst,natural,,83e72759f50f128dfbeb0f20608b3d77fb36bc99df94c236baa6712211e1813e,c18773fb2ea6bfeef63968f24862c26374735c224d7ecd965a0e3160d1ee2651,46
reed_57067252,reed,57067252,29/06/2026,2026-08-07T17:57:36.792408+00:00,other_analyst,natural,,974ae72cd2948c667242390590c0aecef5299312fd532d7d2713bd91ce714bd9,11b733f1f993322745b818e299a91335ee28ee9aef8aefd21802b80fa7cc92b4,47
